epoch,iter,loss_cons,loss_det_A,loss_det_B,num_pairs,dim_diff,angle_diff
5,192,0.215433,12.7511,12.8543,12,0.03676,0.178672
5,200,0.208966,15.6832,15.6479,9,0.033453,0.175514
5,208,0.194689,18.2783,17.7266,28,0.034104,0.160585
5,216,0.163184,13.8614,14.8162,21,0.03552,0.127664
5,224,0.195937,18.662,19.4404,28,0.034019,0.161918
5,232,0.232414,18.0718,18.754,20,0.043716,0.188698
5,240,0.212375,13.716,15.5667,15,0.037763,0.174613
5,248,0.201254,13.4423,15.2529,23,0.033606,0.167647
5,256,0.219844,16.1583,15.4665,33,0.036605,0.183239
5,264,0.213142,14.6004,15.3574,21,0.039846,0.173296
5,272,0.204277,16.4455,15.864,41,0.037353,0.166924
5,280,0.199586,14.8018,17.2552,27,0.040255,0.15933
5,288,0.219873,17.3243,19.4873,15,0.039184,0.180689
5,296,0.218379,15.0853,15.1543,16,0.041292,0.177087
5,304,0.216096,20.1628,15.9581,19,0.037353,0.178744
5,312,0.236228,18.2305,18.8954,29,0.044933,0.191295
5,320,0.223461,17.3392,17.3113,42,0.032683,0.190778
5,328,0.218288,17.2114,15.83,40,0.038949,0.17934
5,336,0.217655,17.1475,17.7462,23,0.040656,0.177
5,344,0.16739,14.3004,14.2706,27,0.033324,0.134066
5,352,0.206409,16.0345,17.8652,34,0.032176,0.174233
5,360,0.2089,15.4791,14.7085,23,0.034113,0.174787
5,368,0.305439,14.7145,14.7669,14,0.052056,0.253384
5,376,0.171562,14.3356,15.3728,23,0.029682,0.14188
5,384,0.241881,19.2684,20.9473,25,0.038825,0.203055
5,392,0.216838,14.312,14.5268,32,0.037938,0.1789
5,400,0.211894,20.2994,18.2863,32,0.033042,0.178851
5,408,0.190628,14.5583,14.8735,20,0.029032,0.161596
5,416,0.322441,21.559,23.3642,11,0.055189,0.267252
5,424,0.235661,15.4983,16.4405,9,0.050005,0.185657
5,432,0.303652,17.8615,18.3043,16,0.046658,0.256994
5,440,0.17728,18.6125,18.3638,22,0.035266,0.142014
5,448,0.221568,15.9383,16.3905,11,0.033818,0.18775
5,456,0.216855,17.6105,17.4468,20,0.044214,0.172641
6,0,0.212961,16.7749,17.9159,18,0.040304,0.172657
6,8,0.153243,16.4295,16.4367,24,0.026357,0.126886
6,16,0.187558,16.7384,16.7859,18,0.027166,0.160392
6,24,0.184644,13.272,11.9334,23,0.03644,0.148203
6,32,0.177361,14.1734,13.7894,27,0.036422,0.140939
6,40,0.174738,13.7024,14.8972,16,0.039139,0.135599
6,48,0.203057,14.9638,15.8264,13,0.042668,0.160389
6,56,0.258599,17.2673,17.2843,33,0.05072,0.207878
6,64,0.196857,14.0177,13.4938,25,0.040415,0.156442
6,72,0.1879,16.2974,16.5332,30,0.039727,0.148173
6,80,0.243208,16.0816,18.2913,28,0.04023,0.202978
6,88,0.23948,12.7937,13.2829,19,0.040765,0.198715
6,96,0.208377,14.6281,13.1348,22,0.033893,0.174484
6,104,0.238308,20.1886,18.6564,30,0.03677,0.201538
6,112,0.231367,15.2168,13.6377,27,0.04394,0.187427
6,120,0.167717,12.661,13.0624,30,0.033441,0.134275
6,128,0.225607,15.112,15.5849,13,0.043977,0.18163
6,136,0.18015,16.1071,14.0483,10,0.038909,0.141241
6,144,0.253744,17.2938,16.8357,34,0.039341,0.214403
6,152,0.233768,14.7376,15.1267,23,0.049591,0.184177
6,160,0.195149,18.7355,17.8706,24,0.050133,0.145017
6,168,0.205017,15.0359,15.9152,32,0.036564,0.168453
6,176,0.210332,17.5477,17.3675,22,0.043219,0.167113
6,184,0.188524,15.0617,15.5133,38,0.038512,0.150011
6,192,0.239185,16.597,16.5628,42,0.034681,0.204504
6,200,0.181737,15.572,14.9015,9,0.045367,0.13637
6,208,0.179411,17.3084,18.8306,19,0.028564,0.150847
6,216,0.200669,18.6918,19.1848,29,0.029722,0.170947
6,224,0.211601,14.597,14.8883,24,0.035486,0.176115
6,232,0.221836,18.8558,17.0924,39,0.0368,0.185036
6,240,0.212431,16.8215,16.2824,36,0.039029,0.173401
6,248,0.249048,17.7065,18.8394,20,0.03985,0.209198
6,256,0.21027,16.4988,16.2658,36,0.039834,0.170437
6,264,0.189149,17.8765,18.5701,33,0.036201,0.152947
6,272,0.163879,15.8791,15.5213,27,0.027464,0.136415
6,280,0.193593,13.6488,13.7504,20,0.028398,0.165194
6,288,0.227325,16.8718,18.1307,29,0.032318,0.195007
6,296,0.228125,12.5787,13.0665,14,0.04576,0.182365
6,304,0.289201,19.1525,17.9466,15,0.043826,0.245375
6,312,0.201114,17.7423,17.3319,23,0.030127,0.170987
6,320,0.193242,14.2968,15.549,39,0.032606,0.160636
6,328,0.203915,18.4871,18.2947,42,0.032799,0.171116
6,336,0.180806,15.1485,14.6994,9,0.036659,0.144147
6,344,0.232444,15.256,15.9886,24,0.048307,0.184136
6,352,0.245755,14.1585,14.2811,15,0.036568,0.209186
6,360,0.237194,17.8677,17.0525,18,0.033907,0.203288
6,368,0.258211,13.1329,12.5711,25,0.040732,0.217479
6,376,0.193873,15.1906,15.7114,16,0.037538,0.156334
6,384,0.221427,15.439,14.5334,31,0.038521,0.182905
6,392,0.2437,15.1593,14.7904,32,0.036967,0.206733
6,400,0.2145,17.6234,17.9827,24,0.045391,0.169109
6,408,0.206227,13.5641,14.0299,17,0.032789,0.173437
6,416,0.237117,20.7139,20.1088,23,0.041027,0.19609
6,424,0.200821,17.5812,17.9575,14,0.031606,0.169215
6,432,0.178079,11.989,12.7197,17,0.045495,0.132583
6,440,0.207671,14.8573,14.7431,23,0.040092,0.167579
6,448,0.239614,13.129,13.5283,23,0.032685,0.206929
6,456,0.19878,15.0218,15.1182,22,0.033987,0.164793
7,0,0.215985,17.3014,16.6412,26,0.03299,0.182995
7,8,0.259667,21.472,20.6891,14,0.045494,0.214173
7,16,0.190294,16.3071,17.0798,18,0.032219,0.158075
7,24,0.230133,16.9453,18.1118,21,0.045567,0.184565
7,32,0.221217,17.7386,18.3708,23,0.044562,0.176655
7,40,0.238961,16.7735,17.0588,10,0.036315,0.202646
7,48,0.216119,16.0185,16.0319,29,0.046874,0.169245
7,56,0.203654,16.0984,17.2867,24,0.03383,0.169824
7,64,0.210168,15.5203,14.2012,19,0.037534,0.172634
7,72,0.218966,16.2304,15.9139,32,0.041116,0.177849
7,80,0.185316,15.7629,15.3669,27,0.032704,0.152612
7,88,0.219901,16.3949,18.136,24,0.037701,0.1822
7,96,0.207694,13.567,15.1303,19,0.032827,0.174866
7,104,0.206794,16.6933,16.3014,36,0.04104,0.165755
7,112,0.206933,14.1872,15.212,25,0.036818,0.170115
7,120,0.215618,14.4471,14.8332,33,0.042179,0.173438
7,128,0.193413,16.3655,16.1536,35,0.030057,0.163357
7,136,0.179502,17.6195,17.0118,21,0.033038,0.146463
7,144,0.215142,15.2321,14.2907,35,0.036868,0.178274
7,152,0.191856,13.912,13.2371,16,0.036927,0.15493
